route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1,1-01 (SAT),[@2511.0.30460567@][1][1690313925886]/38__1-01_(SAT),Halesite Fire Department via NYS 110,1,1-01 (SAT),[@2511.0.30460567@]1
1,1-01 (SAT),[@2511.0.30460567@][3][1690314980280]/103__1-01_(SAT),Amityville Railroad via NYS 110,0,1-01 (SAT),[@2511.0.30460567@]2
1,1-01 (SAT),[@2511.0.30460567@][1][1690313925886]/41__1-01_(SAT),Halesite Fire Department via NYS 110,1,1-01 (SAT),[@2511.0.30460567@]1
1,1-01 (SAT),[@2511.0.30460567@][3][1690314980280]/106__1-01_(SAT),Amityville Railroad via NYS 110,0,1-01 (SAT),[@2511.0.30460567@]2
1,1-01 (SAT),[@2511.0.30460567@][1][1690313925886]/44__1-01_(SAT),Halesite Fire Department via NYS 110,1,1-01 (SAT),[@2511.0.30460567@]1
1,1-01 (SAT),[@2511.0.30460567@][3][1690314980280]/109__1-01_(SAT),Amityville Railroad via NYS 110,0,1-01 (SAT),[@2511.0.30460567@]2
1,1-01 (SAT),[@2511.0.30460567@][1][1690313925886]/47__1-01_(SAT),Halesite Fire Department via NYS 110,1,1-01 (SAT),[@2511.0.30460567@]1
1,1-01 (WD),[@2511.0.30460567@][1][1690313455190]/0__1-01_(WD),Halesite Fire Department via NYS 110,1,1-01 (WD),[@2511.0.30460567@]1
1,1-01 (WD),[@2511.0.30460567@][3][1690314854032]/66__1-01_(WD),Amityville Railroad via NYS 110,0,1-01 (WD),[@2511.0.30460567@]2
1,1-01 (WD),[@2511.0.30460567@][1][1690313455190]/6__1-01_(WD),Halesite Fire Department via NYS 110,1,1-01 (WD),[@2511.0.30460567@]1
1,1-01 (WD),[@2511.0.30460567@][3][1690314891857]/72__1-01_(WD),Amityville Railroad via NYS 110,0,1-01 (WD),[@2511.0.30460567@]2
1,1-01 (WD),[@2511.0.30460567@][1][1690313551526]/12__1-01_(WD),Halesite Fire Department via NYS 110,1,1-01 (WD),[@2511.0.30460567@]1
1,1-01 (WD),[@2511.0.30460567@][3][1690314891857]/78__1-01_(WD),Amityville Railroad via NYS 110,0,1-01 (WD),[@2511.0.30460567@]2
1,1-01 (WD),[@2511.0.30460567@][1][1690313551526]/18__1-01_(WD),Halesite Fire Department via NYS 110,1,1-01 (WD),[@2511.0.30460567@]1
1,1-01 (WD),[@2511.0.30460567@][3][1690314917160]/84__1-01_(WD),Amityville Railroad via NYS 110,0,1-01 (WD),[@2511.0.30460567@]2
1,1-01 (WD),[@2511.0.30460567@][1][1690313602253]/24__1-01_(WD),Halesite Fire Department via NYS 110,1,1-01 (WD),[@2511.0.30460567@]1
1,1-01 (WD),[@2511.0.30460567@][3][1690314942696]/90__1-01_(WD),Amityville Railroad via NYS 110,0,1-01 (WD),[@2511.0.30460567@]2
